pid,pref,prefkana,prefshort,prefshortkana,pref_en,pref3code,url,lgcode,ISO3166-2,capital,lat,lng
1,北海道,ほっかいどう,北海道,ほっかいどう,Hokkaido,HKD,https://www.pref.hokkaido.lg.jp/,10006,JP-01,札幌市,43.063968,141.347899
2,青森県,あおもりけん,青森,あおもり,Aomori,AOM,https://www.pref.aomori.lg.jp/,20001,JP-02,青森市,40.824623,140.740593
3,岩手県,いわてけん,岩手,いわて,Iwate,IWT,https://www.pref.iwate.jp/,30007,JP-03,盛岡市,39.703531,141.152667
4,宮城県,みやぎけん,宮城,みやぎ,Miyagi,MYG,https://www.pref.miyagi.jp/,40002,JP-04,仙台市,38.268839,140.872103
5,秋田県,あきたけん,秋田,あきた,Akita,AKT,https://www.pref.akita.lg.jp/,50008,JP-05,秋田市,39.718600,140.102334
6,山形県,やまがたけん,山形,やまがた,Yamagata,YGT,https://www.pref.yamagata.jp/,60003,JP-06,山形市,38.240437,140.363634
7,福島県,ふくしまけん,福島,ふくしま,Fukushima,FKS,https://www.pref.fukushima.lg.jp/,70009,JP-07,福島市,37.750299,140.467521
8,茨城県,いばらきけん,茨城,いばらき,Ibaraki,IBR,https://www.pref.ibaraki.jp/,80004,JP-08,水戸市,36.341813,140.446793
9,栃木県,とちぎけん,栃木,とちぎ,Tochigi,TCG,https://www.pref.tochigi.lg.jp/,90000,JP-09,宇都宮市,36.565725,139.883565
10,群馬県,ぐんまけん,群馬,ぐんま,Gunma,GNM,https://www.pref.gunma.jp/,100005,JP-10,前橋市,36.391208,139.060156
11,埼玉県,さいたまけん,埼玉,さいたま,Saitama,SIT,https://www.pref.saitama.lg.jp/,110001,JP-11,さいたま市,35.857428,139.648933
12,千葉県,ちばけん,千葉,ちば,Chiba,CBA,https://www.pref.chiba.lg.jp/,120006,JP-12,千葉市,35.605058,140.123308
13,東京都,とうきょうと,東京,とうきょう,Tokyo,TKY,https://www.metro.tokyo.lg.jp/,130001,JP-13,東京都（新宿区）,35.689521,139.691704
14,神奈川県,かながわけん,神奈川,かながわ,Kanagawa,KNG,https://www.pref.kanagawa.jp/,140007,JP-14,横浜市,35.447753,139.642514
15,新潟県,にいがたけん,新潟,にいがた,Niigata,NIG,https://www.pref.niigata.lg.jp/,150002,JP-15,新潟市,37.902418,139.023221
16,富山県,とやまけん,富山,とやま,Toyama,TYM,https://www.pref.toyama.jp/,160008,JP-16,富山市,36.695290,137.211338
17,石川県,いしかわけん,石川,いしかわ,Ishikawa,ISK,https://www.pref.ishikawa.lg.jp/,170003,JP-17,金沢市,36.594682,136.625573
18,福井県,ふくいけん,福井,ふくい,Fukui,FKI,https://www.pref.fukui.lg.jp/,180009,JP-18,福井市,36.065219,136.221642
19,山梨県,やまなしけん,山梨,やまなし,Yamanashi,YMN,https://www.pref.yamanashi.jp/,190004,JP-19,甲府市,35.664158,138.568449
20,長野県,ながのけん,長野,ながの,Nagano,NGN,https://www.pref.nagano.lg.jp/,200000,JP-20,長野市,36.651289,138.181224
21,岐阜県,ぎふけん,岐阜,ぎふ,Gifu,GIF,https://www.pref.gifu.lg.jp/,210005,JP-21,岐阜市,35.391227,136.722291
22,静岡県,しずおかけん,静岡,しずおか,Shizuoka,SZO,https://www.pref.shizuoka.jp/,220001,JP-22,静岡市,34.976978,138.383054
23,愛知県,あいちけん,愛知,あいち,Aichi,AIC,https://www.pref.aichi.jp/,230006,JP-23,名古屋市,35.180188,136.906565
24,三重県,みえけん,三重,みえ,Mie,MIE,https://www.pref.mie.lg.jp/,240001,JP-24,津市,34.730283,136.508591
25,滋賀県,しがけん,滋賀,しが,Shiga,SGA,https://www.pref.shiga.lg.jp/,250007,JP-25,大津市,35.004531,135.868590
26,京都府,きょうとふ,京都,きょうと,Kyoto,KYT,https://www.pref.kyoto.jp/,260002,JP-26,京都市,35.021004,135.755608
27,大阪府,おおさかふ,大阪,おおさか,Osaka,OSK,https://www.pref.osaka.lg.jp/,270008,JP-27,大阪市,34.686316,135.519711
28,兵庫県,ひょうごけん,兵庫,ひょうご,Hyogo,HYG,https://web.pref.hyogo.lg.jp/,280003,JP-28,神戸市,34.691279,135.183025
29,奈良県,ならけん,奈良,なら,Nara,NRA,https://www.pref.nara.jp/,290009,JP-29,奈良市,34.685333,135.832744
30,和歌山県,わかやまけん,和歌山,わかやま,Wakayama,WKY,https://www.pref.wakayama.lg.jp/,300004,JP-30,和歌山市,34.226034,135.167506
31,鳥取県,とっとりけん,鳥取,とっとり,Tottori,TTR,https://www.pref.tottori.lg.jp/,310000,JP-31,鳥取市,35.503869,134.237672
32,島根県,しまねけん,島根,しまね,Shimane,SMN,https://www.pref.shimane.lg.jp/,320005,JP-32,松江市,35.472297,133.050499
33,岡山県,おかやまけん,岡山,おかやま,Okayama,OKY,https://www.pref.okayama.jp/,330001,JP-33,岡山市,34.661772,133.934675
34,広島県,ひろしまけん,広島,ひろしま,Hiroshima,HRS,https://www.pref.hiroshima.lg.jp/,340006,JP-34,広島市,34.396560,132.459622
35,山口県,やまぐちけん,山口,やまぐち,Yamaguchi,YGC,https://www.pref.yamaguchi.lg.jp/,350001,JP-35,山口市,34.186121,131.470500
36,徳島県,とくしまけん,徳島,とくしま,Tokushima,TKS,https://www.pref.tokushima.lg.jp/,360007,JP-36,徳島市,34.065770,134.559303
37,香川県,かがわけん,香川,かがわ,Kagawa,KGW,https://www.pref.kagawa.lg.jp/,370002,JP-37,高松市,34.340149,134.043444
38,愛媛県,えひめけん,愛媛,えひめ,Ehime,EHM,https://www.pref.ehime.jp/,380008,JP-38,松山市,33.841660,132.765362
39,高知県,こうちけん,高知,こうち,Kochi,KOC,https://www.pref.kochi.lg.jp/,390003,JP-39,高知市,33.559705,133.531080
40,福岡県,ふくおかけん,福岡,ふくおか,Fukuoka,FKO,https://www.pref.fukuoka.lg.jp/,400009,JP-40,福岡市,33.606785,130.418314
41,佐賀県,さがけん,佐賀,さが,Saga,SAG,https://www.pref.saga.lg.jp/,410004,JP-41,佐賀市,33.249367,130.298822
42,長崎県,ながさきけん,長崎,ながさき,Nagasaki,NGS,https://www.pref.nagasaki.lg.jp/,420000,JP-42,長崎市,32.744839,129.873756
43,熊本県,くまもとけん,熊本,くまもと,Kumamoto,KMM,https://www.pref.kumamoto.jp/,430005,JP-43,熊本市,32.789828,130.741667
44,大分県,おおいたけん,大分,おおいた,Oita,OIT,https://www.pref.oita.jp/,440001,JP-44,大分市,33.238194,131.612591
45,宮崎県,みやざきけん,宮崎,みやざき,Miyazaki,MYZ,https://www.pref.miyazaki.lg.jp/,450006,JP-45,宮崎市,31.911090,131.423855
46,鹿児島県,かごしまけん,鹿児島,かごしま,Kagoshima,KGS,https://www.pref.kagoshima.jp/,460001,JP-46,鹿児島市,31.560148,130.557981
47,沖縄県,おきなわけん,沖縄,おきなわ,Okinawa,OKN,https://www.pref.okinawa.lg.jp/,470007,JP-47,那覇市,26.212401,127.680932